Net Status Report
Filename     : E:\MarsCloud\Doc\program\Embedded\stm32\Project\蓝牙机械键盘\PCB\创世一号\创世一号.PcbDoc
Date         : 2019/12/14
Time         : 17:37:44
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetD91_1, Signal Layers Only, 5.1221mm
    NetD92_1, Signal Layers Only, 5.0425mm
    NetD9_1, Signal Layers Only, 5.0746mm
    NetF1_2, Signal Layers Only, 6.5592mm
    NetLED1_1, Signal Layers Only, 38.4819mm
    NetLED1_2, Signal Layers Only, 44.5804mm
    NetLEDPwrCON_2, Signal Layers Only, 51.3116mm
    NetLED_CHRG_2, Signal Layers Only, 2.3212mm
    NetPWR_1, Signal Layers Only, 4.0564mm
    NetQ1_2, Signal Layers Only, 9.2014mm
    NetR10_2, Signal Layers Only, 23.3686mm
    NetR12_2, Signal Layers Only, 15.0667mm
    NetR13_1, Signal Layers Only, 23.1367mm
    NetR2_1, Signal Layers Only, 24.4479mm
    NetR7_2, Signal Layers Only, 2.9351mm
    NetRPROG_2, Signal Layers Only, 3.3003mm
    SWCLK, Signal Layers Only, 13.0497mm
    SWDIO, Signal Layers Only, 17.3291mm
    SysPWREN, Signal Layers Only, 96.773mm
    U1_RX, Signal Layers Only, 180.4889mm
    U1_TX, Signal Layers Only, 177.602mm
    USBDM, Signal Layers Only, 352.1632mm
    USBDP, Signal Layers Only, 349.883mm
    WAKEUP, Signal Layers Only, 186.161mm
    XT_IN, Signal Layers Only, 32.5651mm
    XT_OUT, Signal Layers Only, 33.0189mm
    col0, Signal Layers Only, 439.2187mm
    col1, Signal Layers Only, 441.1519mm
    col10, Signal Layers Only, 270.956mm
    col11, Signal Layers Only, 182.2155mm
    col12, Signal Layers Only, 192.7228mm
    col13, Signal Layers Only, 115.4636mm
    col14, Signal Layers Only, 78.8853mm
    col15, Signal Layers Only, 122.1119mm
    col2, Signal Layers Only, 404.7551mm
    col3, Signal Layers Only, 358.7097mm
    col4, Signal Layers Only, 403.5629mm
    col5, Signal Layers Only, 397.523mm
    col6, Signal Layers Only, 382.0383mm
    col7, Signal Layers Only, 355.4131mm
    col8, Signal Layers Only, 271.7009mm
    col9, Signal Layers Only, 276.9505mm
    row0, Signal Layers Only, 418.8658mm
    row1, Signal Layers Only, 368.5067mm
    row2, Signal Layers Only, 338.8084mm
    row3, Signal Layers Only, 384.3492mm
    row4, Signal Layers Only, 403.3851mm
    row5, Signal Layers Only, 362.785mm
count : 173
